,word,wordnum
467,基督山伯爵,2.0
468,朱生豪,2.0
469,哈珀·李,2.0
470,Priest,2.0
471,韦伯,2.0
472,兰晓龙,2.0
473,科学史,2.0
474,李泽厚,2.0
475,亲密关系,2.0
476,古典音乐,2.0
477,西方古典音乐,2.0
478,echo,2.0
479,人物,2.0
480,基督教,2.0
481,圣香,2.0
482,宋词,2.0
483,白鹿原,2.0
484,文革,2.0
485,政治史,2.0
486,罗杰·克劳利,2.0
487,印度文学,2.0
488,三体,2.0
489,猫,2.0
490,纳尔齐斯与歌尔德蒙,2.0
491,economics,2.0
492,卡伦·霍尼,2.0
493,我的团长我的团,2.0
494,温柔的夜,2.0
495,刀刀,2.0
496,理性,2.0
497,人际关系,2.0
498,牡丹亭,2.0
499,那不勒斯四部曲,2.0
500,余华,2.0
501,刘和平,2.0
502,词典,2.0
503,西伯利亚,2.0
504,传统文化,2.0
505,教程,2.0
506,大仲马,2.0
507,重构,2.0
508,佛陀,2.0
509,生活·读书·新知三联书店,2.0
510,中国漫画,2.0
511,画集,2.0
512,故事新编,2.0
513,金庸,2.0
514,情感,2.0
515,昆曲,2.0
516,天才,2.0
517,隋唐史,2.0
518,欧洲历史,2.0
519,一行禅师,2.0
520,leslie,2.0
521,艺术的故事,2.0
522,基地,2.0
523,叶广芩,2.0
524,安徒生,2.0
525,儿童教育,2.0
526,希尔弗斯坦,2.0
527,缅北之战,2.0
528,侦探小说,2.0
529,刘慈欣,2.0
530,程序员,2.0
531,甲骨文丛书,2.0
532,苏联,2.0
533,肯·福莱特,2.0
534,DC,2.0
535,宇宙,2.0
536,撒哈拉的故事,2.0
537,泰戈尔,2.0
538,商务印书馆,2.0
539,卡洛·罗韦利,2.0
540,架空历史,2.0
541,东野圭吾,2.0
542,東野圭吾,2.0
543,毛毛,2.0
544,地理学,2.0
545,田中芳树,2.0
546,近代史,2.0
547,伦理学,2.0
548,priest,2.0
549,活着,2.0
550,银英,2.0
551,津巴多,2.0
552,中国少年儿童百科全书,2.0
553,儒学,2.0
554,勒·柯布西耶全集,1.0
555,袁越,1.0
556,弗雷德里克·巴克曼,1.0
557,悬疑小说,1.0
558,巴黎评论,1.0
559,中国建筑,1.0
560,李光耀观天下,1.0
561,图册,1.0
562,安德烈·斯帕克沃斯基,1.0
563,中世纪,1.0
564,成長,1.0
565,伽莫夫,1.0
566,投资&金融&经济,1.0
567,西藏,1.0
568,樑思成,1.0
569,现代汉语,1.0
570,ComputerScience,1.0
571,本尼迪克特·安德森,1.0
572,罗贯中,1.0
573,宗萨钦哲仁波切,1.0
574,绘本图书,1.0
575,刑法,1.0
576,欲望号街车,1.0
577,忧郁的热带,1.0
578,经学,1.0
579,图画书,1.0
580,诺贝尔奖,1.0
581,吴念真,1.0
582,户外,1.0
583,安德烈.塔可夫斯基,1.0
584,中國歷史,1.0
585,芥川龙之介全集,1.0
586,脑洞,1.0
587,胡安·鲁尔福,1.0
588,控制论,1.0
589,象棋的故事,1.0
590,中国战国史,1.0
591,强风吹拂,1.0
592,社会性动物,1.0
593,预防医学,1.0
594,全球通史(上),1.0
595,陶渊明集,1.0
596,校園,1.0
597,生存,1.0
598,动物行为学,1.0
599,建构,1.0
600,游戏,1.0
601,沃尔特·李普曼,1.0
602,張愛玲,1.0
603,中国国家地理,1.0
604,嫌疑人X的献身,1.0
605,团体治疗,1.0
606,毛泽东选集,1.0
607,波伏娃,1.0
608,我就是那霸王龙式的孩子,1.0
609,赖世雄,1.0
610,外部空间设计,1.0
611,藩镇,1.0
612,傲慢与偏见,1.0
613,口述史,1.0
614,般若波罗密多,1.0
615,以赛亚·伯林,1.0
616,动画,1.0
617,论法的精神,1.0
618,叔本华思想随笔,1.0
619,Biography,1.0
620,中国古典园林,1.0
621,本杰明·格雷厄姆,1.0
622,敦煌,1.0
623,白俄罗斯,1.0
624,Z历史-中国-故宫,1.0
625,佛,1.0
626,法理,1.0
627,文化/生活,1.0
628,诗学,1.0
629,理论,1.0
630,文学史,1.0
631,地藏菩萨本愿经,1.0
632,博物学,1.0
633,大盗贼,1.0
634,心理治疗小说,1.0
635,新制度经济学,1.0
636,汉译世界学术名著丛书,1.0
637,量子力学,1.0
638,红学,1.0
639,野生生物,1.0
640,人生枷锁,1.0
641,鼠族,1.0
642,柯南道尔,1.0
643,汉魏六朝,1.0
644,指针,1.0
645,侦探推理,1.0
646,Programming,1.0
647,漫画/绘本,1.0
648,期货,1.0
649,人类学·社会学,1.0
650,细细迷迷的迷离失所,1.0
651,华夏意匠：中国古典建筑设计原理分析,1.0
652,浪潮之巅,1.0
653,LISP,1.0
654,社会\\心理\\经济,1.0
655,荷西，我爱你,1.0
656,怪老头,1.0
657,朴实自然真挚,1.0
658,风与树的歌,1.0
659,体系结构,1.0
660,大都会,1.0
661,手稿,1.0
662,社会.人类学,1.0
663,个人主义,1.0
664,二十四史,1.0
665,解谜,1.0
666,中短篇,1.0
667,天人五衰,1.0
668,个人管理,1.0
669,福尔摩斯,1.0
670,荷兰,1.0
671,文学评述,1.0
672,儒勒·凡尔纳,1.0
673,莫尔斯,1.0
674,宋词，国学，古典诗词,1.0
675,写在人生边上的边上,1.0
676,幽默,1.0
677,安徒生童话故事集,1.0
678,费马大定理,1.0
679,的灰,1.0
680,制度经济学,1.0
681,树上的男爵,1.0
682,白银时代,1.0
683,严耕望,1.0
684,熔炉法,1.0
685,三毛作品集,1.0
686,OscarWilde,1.0
687,普利策,1.0
688,巫鸿,1.0
689,李光耀,1.0
690,奥地利文学,1.0
691,王道乾,1.0
692,用户增长,1.0
693,宪法,1.0
694,陶渊明,1.0
695,大师,1.0
696,美术史,1.0
697,唐宋词十七讲,1.0
698,中国近现代,1.0
699,万物刹那又永恒,1.0
700,科学通识,1.0
701,文博,1.0
702,人间是剧场,1.0
703,今敏,1.0
704,伊斯兰,1.0
705,伊坂幸太郎,1.0
706,奥尔德斯·赫胥黎,1.0
707,PattiSmith,1.0
708,Effective,1.0
709,司马迁,1.0
710,藝術設計私生活,1.0
711,yesminister!,1.0
712,狂热分子,1.0
713,1984,1.0
714,365夜,1.0
715,欧洲文学,1.0
716,建筑学,1.0
717,路遥,1.0
718,沈从文,1.0
719,女性主义,1.0
720,罗曼罗兰,1.0
721,Scheme,1.0
722,Ludwig_Wittgenstein,1.0
723,三国演义,1.0
724,唐史,1.0
725,纪伯伦诗集,1.0
726,中国通史,1.0
727,查拉图斯特拉,1.0
728,巴西,1.0
729,神秘岛,1.0
730,被遗忘的士兵,1.0
731,Linux,1.0
732,王世襄,1.0
733,心理学史,1.0
734,皮皮鲁,1.0
735,绿毛水怪,1.0
736,魏晋风度,1.0
737,经济管理,1.0
738,判断力批判,1.0
739,黄灿然,1.0
740,哲学入门,1.0
741,*上海译文出版社*,1.0
742,面纱,1.0
743,林格伦,1.0
744,王守仁,1.0
745,东方快车谋杀案,1.0
746,万水千山走遍,1.0
747,百年孤独,1.0
748,大都会艺术博物馆,1.0
749,张荫麟,1.0
750,美国纽约摄影学院摄影教材,1.0
751,心理咨询,1.0
