,book_name,tags,year
66,五月天之素人自拍 (豆瓣),"['五月天', '素人自拍', 'Mayday', '阿信', '五月天ソ素人自拍', '台湾', '記實', '台灣']", 2001-9-17
67,对伪心理学说不 (豆瓣),"['心理学', '心理', '科普', '批判性思维', '科学', '社会\\心理\\经济', '思维', '美国']", 2012-1-1
68,我要做好孩子 (豆瓣),"['儿童文学', '黄蓓佳', '我要做好孩子', '小说', '童年', '童年回忆', '童年记忆', '中国']", 1996-12
69,北方的空地 (豆瓣),"['旅行', '羌塘', '探险', '杨柳松', '户外', '西藏', '游记', '穿越']", 2011-4
70,古拉格：一部历史 (豆瓣),"['历史', '苏联', '古拉格', '极权', '社会史', '黑暗时代', '政治学', '苦难']", 2013-4-1
71,地下室手记 (豆瓣),"['陀思妥耶夫斯基', '小说', '俄罗斯', '俄国文学', '外国文学', '文学', '俄罗斯文学', '哲学']", 2012-5
72,皮皮鲁和鲁西西全传 (豆瓣),"['郑渊洁', '童话', '皮皮鲁', '儿童文学', '童年', '小时候的书', '经典', '中国']", 1989
73,失明症漫记 (豆瓣),"['小说', '萨拉马戈', '人性', '诺贝尔文学奖', '外国文学', '若泽·萨拉马戈', '葡萄牙', '葡萄牙文学']", 2014-2
74,来自新世界 （上下） (豆瓣),"['科幻', '日本文学', '日本', '贵志佑介', '反乌托邦', '小说', '贵志祐介', '轻小说']", 2014-4
75,永恒的终结 (豆瓣),"['科幻', '阿西莫夫', '时间旅行', '科幻小说', '小说', '美国', '艾萨克·阿西莫夫', '外国文学']", 2014-9-1
76,听音乐（插图第6版） (豆瓣),"['音乐', '古典音乐', '音乐欣赏', '艺术', '音乐教程', '西方古典音乐', '音乐学', '西方音乐']", 2008-6
77,美的历程 (豆瓣),"['美学', '李泽厚', '艺术', '哲学', '美的历程', '人文', '中国', '生活·读书·新知三联书店']", 2009-1-1
78,众病之王 (豆瓣),"['科普', '医学', '癌症', '医学人文', '健康', '疾病', '社会学', '美国']", 2013-2-4
79,人类简史 (豆瓣),"['历史', '人类简史', '人类学', '人类', '科普', '哲学', '思维', '文化']", 2014-11
80,最好的告别 (豆瓣),"['死亡', '医学', '社会学', '伦理', '社会', '老龄化', '阿图·葛文德', '美国']", 2015-7-31
81,强风吹拂 (豆瓣),"['日本文学', '三浦紫苑', '跑步', '励志', '日本', '小说', '强风吹拂', '青春']", 2015-1-1
82,文明之光（第一册） (豆瓣),"['历史', '吴军', '文化', '科普', '科技', '文明', '互联网', '计算机']", 2014-6-25
83,四書章句集注 (豆瓣),"['朱熹', '国学', '四书', '古籍', '经典', '哲学', '经学', '理学']", 1983-10
84,大盗贼 (豆瓣),"['童话', '儿童文学', '大盗贼', '德国', '留在记忆中的经典童话', '奥得弗雷德·普鲁士勒', '外国文学', '童话_奥得弗雷德·普鲁士勒（德国）']", 2004-10-01
85,霸王别姬 (豆瓣),"['李碧华', '小说', '霸王别姬', '中国文学', '香港', '爱情', '文学', '中国']", 1999-1
86,重构 (豆瓣),"['重构', '软件工程', '编程', '软件开发', '计算机', 'programming', '代码', 'design']", 2003-8-1
87,易经 (豆瓣),"['易经', '哲学', '国学', '玄学', '周易', '智慧', '古籍', '中国']", 2006-8-1
88,编程珠玑 (豆瓣),"['编程', '算法', '编程艺术', '计算机', '程序设计', '算法与数据结构', '计算机科学', 'programming']", 2008-10
89,宋词三百首 (豆瓣),"['宋词', '古典文学', '诗词', '宋词三百首', '宋词，国学，古典诗词', '中国文学', '诗歌', '古典']", 2004-08
90,战国策 (豆瓣),"['历史', '战国策', '国学', '诸子百家', '智慧', '古典文学', '中国历史', '中国战国史']", 2003-1-1
91,敏捷软件开发 (豆瓣),"['敏捷开发', '软件工程', '设计模式', '软件开发', '计算机', '敏捷', '编程', 'agile']", 2003-09-01
92,牡丹亭 (豆瓣),"['古典文学', '牡丹亭', '汤显祖', '戏剧', '中国古典文学', '昆曲', '戏曲', '中国文学']", 1963-4-1
93,宋词鉴赏辞典 (豆瓣),"['宋词', '古典文学', '诗词', '宋词鉴赏', '中国古典文学', '鉴赏', '诗歌', '辞典']", 2003-8-1
94,长袜子皮皮 (豆瓣),"['长袜子皮皮', '童话', '儿童文学', '瑞典', '林格伦', '外国文学', '童年', '童书']", 1999-3
95,老子注译及评介 (豆瓣),"['老子', '哲学', '陈鼓应', '国学', '道家', '中国哲学', '经典', '诸子']", 2009-2
96,中国古典园林分析 (豆瓣),"['园林', '中国古典园林', '建筑', '彭一刚', '景观', '设计', '经典', '艺术']", 1986-12-1
97,外部空间设计 (豆瓣),"['建筑', '芦原义信', '外部空间设计', '设计', '建筑理论', '城市设计', '日本', '景观']", 1985-3
98,四世同堂（上下） (豆瓣),"['老舍', '中国文学', '小说', '四世同堂', '经典', '中国', '现代文学', '文学']", 1999-06
99,莎士比亚全集（全8册） (豆瓣),"['莎士比亚', '戏剧', '外国文学', '经典', '莎士比亚全集', '英国文学', '朱生豪', '英国']", 1998-5
100,津巴多普通心理学 (豆瓣),"['心理学', '普通心理学', '津巴多', '津巴多普通心理学', '心理', '入门', '经典', '教材']", 2008-7
101,Head First 设计模式（中文版） (豆瓣),"['设计模式', '计算机', '编程', '软件工程', 'Headfirst', '软件设计', 'java', '软件开发']", 2007-9
102,天龙八部 (豆瓣),"['金庸', '武侠', '天龙八部', '武侠小说', '经典', '小说', '中国文学', '中国']", 1994-5
103,古文观止 (豆瓣),"['古典文学', '古文观止', '国学', '古文', '经典', '文学', '古籍', '散文']", 1987-1-1
104,计算机程序的构造和解释(原书第2版) (豆瓣),"['计算机科学', '计算机', '编程', 'SICP', '程序设计', '经典', 'LISP', 'Scheme']", 2004-2
105,期货市场技术分析 (豆瓣),"['期货', '技术分析', '投资', '金融', '约翰·墨菲', '股票', '投机', '证券']", 1994-5-1
106,聪明的投资者 (豆瓣),"['投资', '金融', '理财', '格雷厄姆', '投资理财', '价值投资', '经典投资书籍', '经济学']", 2010-8
107,冬牧场 (豆瓣),"['李娟', '散文', '新疆', '阿勒泰', '随笔', '自然', '散文随笔', '中国']", 2012-6
108,蓝熊船长的13条半命 (豆瓣),"['童话', '儿童文学', '蓝熊船长的13条半命', '德国', '幻想', '小说', '外国文学', '莫尔斯']", 2002-1
